"reg1","vote16","meeting","moneyorg","protest","online","persuade","button","moneycand","argument","particip_none","particip_count","vote20jb","apppres7","frnpres7","immpres7","econpres7","econnow","finworry","confecon","hlthcare1","hlthcare2","experts","science","exphelp","excessive","socmed_1","socmed_2","socmed_3","socmed_4","socmed_5","socmed_6","socmed_7","socmed_8","socmed_9","twitter1","racegr","sex","educ","income","birthyr","covidpres7","healthcarepres7","covid1","covid2","mis_covid1","conf_covid1","mis_covid2","conf_covid2"
1,2,0,0,0,0,0,0,0,0,1,0,2,7,7,7,7,4,3,3,1,4,3,5,5,3,1,1,0,0,1,0,0,0,0,1,"Hispanic",1,2,11,1989,7,77,3,3,2,2,2,3
1,2,0,1,0,1,0,0,0,1,0,3,2,7,7,7,7,4,5,5,1,2,4,5,5,3,1,1,1,0,1,0,0,1,0,7,"White",2,8,22,1961,7,77,3,1,2,4,2,5
1,3,0,0,0,0,0,0,0,0,1,0,4,7,7,7,7,5,5,5,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,66,"Black",1,1,1,1982,7,77,5,5,2,2,2,1
1,2,0,1,0,1,1,1,1,1,0,6,2,7,6,6,5,5,3,5,1,4,3,5,4,2,1,1,1,0,1,0,0,0,0,2,"White",1,5,99,1954,7,77,3,2,2,4,2,3
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,4,3,4,7,2,2,3,3,3,0,1,0,0,1,0,0,0,0,5,"White",1,2,3,1947,2,77,4,1,2,2,2,5
1,4,0,0,0,0,0,0,0,1,0,1,2,6,7,7,6,5,3,2,1,2,5,5,5,2,1,1,1,1,1,1,1,1,0,2,"Mixed",1,4,14,1999,6,77,3,4,2,4,2,4
1,2,1,0,0,1,1,0,0,0,0,3,2,5,2,2,3,2,2,3,3,2,3,2,2,2,1,1,0,1,1,1,0,0,0,2,"Hispanic",1,6,23,1990,2,77,2,3,2,5,2,2
3,4,0,0,0,0,0,0,0,0,1,0,4,5,6,2,4,4,2,2,4,4,3,2,2,4,0,0,0,0,0,0,0,0,1,66,"White",2,2,3,1986,7,77,5,1,2,1,2,2
3,4,0,0,0,0,0,0,0,0,1,0,4,7,4,4,4,4,4,4,4,3,4,3,3,3,1,1,1,0,1,1,1,0,0,1,"Hispanic",2,2,5,1991,4,77,4,2,1,2,2,2
1,4,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,3,3,3,4,3,3,3,3,3,1,0,1,0,1,0,0,0,0,66,"Black",2,2,8,1991,4,77,3,3,2,3,1,1
1,2,0,0,0,0,0,1,1,1,0,3,2,7,7,7,4,5,3,5,2,2,3,4,4,3,1,0,0,0,0,0,0,0,0,66,"Hispanic",2,2,11,1952,7,77,2,1,2,3,2,5
1,2,1,0,0,1,1,1,0,0,0,4,3,1,4,2,5,1,4,4,1,4,2,4,3,4,1,1,1,0,1,0,0,0,0,2,"White",1,6,23,1975,4,77,1,2,2,3,2,3
1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,1,2,1,1,7,1,2,1,1,2,1,1,1,1,1,1,0,0,0,1,"White",1,3,2,1971,1,77,5,5,1,5,2,3
1,1,1,0,0,1,0,0,0,0,0,2,1,1,1,1,2,1,2,1,1,1,1,4,1,2,1,1,1,0,0,0,1,0,0,2,"Hispanic",2,5,22,1987,1,77,1,1,1,3,1,1
1,1,0,0,0,0,0,0,0,0,1,0,1,2,3,3,2,3,4,4,4,3,3,3,3,4,1,1,1,1,1,0,0,0,0,2,"Hispanic",1,2,15,1998,3,77,3,3,2,3,2,2
1,1,0,0,0,0,0,0,0,0,1,0,1,2,3,3,1,2,2,3,7,1,4,3,4,2,1,0,0,0,0,0,0,0,0,66,"White",2,2,4,1941,2,77,4,1,2,5,2,5
1,1,1,1,0,1,0,0,0,0,0,3,1,3,4,2,2,4,2,3,1,4,4,3,3,2,1,0,1,0,1,0,0,0,0,66,"White",1,6,10,1943,3,77,3,2,2,2,2,4
1,2,0,0,0,1,1,0,0,1,0,3,2,3,5,7,2,2,2,2,1,2,1,5,5,4,1,1,1,0,1,1,1,0,0,1,"Hispanic",2,3,5,1999,7,77,2,2,1,3,1,4
1,1,0,0,0,0,0,0,0,0,1,0,1,2,2,2,3,3,3,3,4,2,3,3,2,4,1,0,0,0,1,0,0,0,0,66,"White",1,3,6,1959,2,77,2,2,1,3,2,3
1,3,0,0,0,0,0,0,0,1,0,1,2,7,6,7,6,4,2,5,2,2,3,2,2,2,0,0,0,0,0,0,0,0,1,66,"White",1,5,10,1957,7,77,1,1,2,3,2,5
1,2,0,0,1,1,1,0,0,1,0,4,2,7,7,7,6,5,2,5,2,3,5,5,4,3,1,1,1,1,1,1,0,0,0,2,"White",2,4,21,1961,7,77,4,1,2,5,2,4
1,4,0,0,0,1,0,1,0,0,0,2,3,6,6,6,6,2,5,4,2,3,4,3,3,3,1,1,1,1,1,0,0,0,0,4,"Black",1,3,1,1998,6,77,1,1,1,4,2,3
1,2,0,0,0,1,0,0,0,0,0,1,2,7,6,7,4,4,4,4,1,4,4,4,4,3,1,0,0,0,1,0,0,1,0,66,"Hispanic",1,3,5,1950,6,77,2,1,2,4,2,4
1,2,0,1,0,1,1,0,1,1,0,5,2,7,7,7,7,5,2,5,1,3,5,5,4,3,1,1,1,1,1,0,0,0,0,1,"White",2,8,16,1982,7,77,3,1,2,5,2,5
3,4,0,0,0,0,0,0,0,0,1,0,4,4,3,4,4,3,3,3,4,3,3,3,3,3,1,0,0,0,1,0,0,0,0,66,"White",2,2,5,1984,4,77,3,3,2,4,2,5
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,5,2,3,4,1,4,3,3,1,1,0,0,0,0,0,0,0,0,66,"White",2,5,9,1952,1,77,5,3,2,3,2,5
1,2,0,0,0,0,0,0,0,0,1,0,2,6,6,6,6,5,4,5,1,2,4,5,5,3,0,0,0,0,1,0,0,0,0,66,"Asian",1,8,11,1971,6,77,3,1,2,5,2,5
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,5,1,1,7,1,5,3,3,3,1,0,0,0,1,0,0,1,0,66,"Other",2,6,5,1955,1,77,5,5,1,5,2,5
1,4,0,0,0,0,0,0,0,0,1,0,2,7,7,4,7,5,2,5,4,2,4,4,3,2,0,0,0,0,1,0,0,0,0,66,"White",2,2,99,1982,7,77,1,1,2,2,2,3
1,4,0,0,0,0,0,0,0,0,1,0,4,7,7,7,7,4,3,3,2,1,3,1,3,3,1,1,1,0,1,1,0,0,0,1,"White",1,1,1,1992,7,77,4,2,1,5,1,5
1,2,1,1,0,1,0,0,1,1,0,5,2,7,7,7,7,5,5,5,2,5,5,5,5,3,1,1,1,0,0,0,0,0,0,1,"White",2,5,18,1978,7,77,1,1,2,2,2,2
1,1,0,0,0,1,0,0,0,1,0,2,1,3,3,3,3,4,3,3,3,2,2,2,2,3,1,1,1,0,1,0,0,0,0,2,"Hispanic",2,6,13,1991,3,77,3,2,1,3,2,3
1,1,0,0,0,0,0,0,0,0,1,0,1,6,3,5,3,5,2,4,6,2,4,4,4,2,1,1,1,0,1,0,0,0,0,2,"White",1,5,21,1965,5,77,1,1,2,4,2,5
1,2,0,0,0,0,0,0,0,0,1,0,2,6,6,3,3,4,3,3,7,1,4,3,3,3,1,0,0,0,0,0,0,0,0,66,"White",2,3,4,1954,3,77,4,4,2,4,2,4
1,2,0,0,0,0,0,0,0,0,1,0,2,6,6,7,6,4,2,3,4,2,3,2,3,2,1,1,1,1,1,0,0,0,0,1,"Asian",1,6,24,1988,6,77,3,2,2,3,2,2
1,1,1,1,0,0,0,1,0,0,0,3,1,1,1,1,1,1,5,5,1,5,1,5,5,5,1,1,1,0,1,1,0,0,0,1,"White",1,6,26,1981,1,77,1,1,1,5,1,5
1,1,1,0,0,0,1,0,0,1,0,3,1,2,1,1,1,2,2,3,6,2,2,3,2,4,0,0,0,0,1,0,0,0,0,66,"White",1,4,5,1975,2,77,4,3,1,5,1,4
1,1,0,0,0,1,1,0,0,0,0,2,1,3,3,4,3,4,3,4,3,3,2,3,3,5,0,0,1,1,1,1,1,0,0,66,"Mixed",1,2,15,1994,5,77,3,2,2,3,2,3
1,2,0,0,0,1,0,0,0,0,0,1,2,7,6,7,7,5,1,4,2,1,4,4,2,2,1,1,1,0,1,0,0,0,0,3,"White",2,6,24,1945,6,77,5,1,2,4,2,5
1,1,1,0,0,1,0,0,0,0,0,2,1,4,4,3,2,2,2,1,2,3,1,2,3,4,0,0,1,0,0,0,0,0,0,66,"Hispanic",2,4,2,1999,2,77,2,4,1,2,2,1
1,2,0,0,0,0,0,0,0,0,1,0,2,7,7,7,7,2,3,3,1,4,3,2,5,1,1,0,0,0,1,0,0,0,0,66,"White",2,4,3,1959,6,77,4,2,2,1,2,2
1,2,0,0,0,0,0,0,0,0,1,0,3,7,6,6,6,4,3,4,4,2,3,3,3,3,0,0,0,0,0,1,0,0,0,66,"White",2,4,15,1962,6,77,1,1,2,4,2,4
1,2,0,0,0,0,0,0,0,0,1,0,2,6,7,7,6,1,2,5,3,5,4,4,5,3,0,0,0,0,1,0,0,0,0,66,"Black",2,5,3,1958,6,77,5,1,1,3,2,3
1,4,0,0,0,1,1,0,0,0,0,2,2,7,7,7,4,4,3,3,5,1,5,3,3,5,1,0,1,0,1,1,1,0,0,66,"Hispanic",1,2,5,2000,4,77,1,3,1,3,2,5
1,1,0,0,0,0,0,0,0,0,1,0,2,7,7,1,7,5,5,5,1,5,3,5,5,3,1,0,1,1,1,0,0,0,0,66,"White",2,6,10,1989,7,77,1,1,2,3,2,5
1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,5,5,5,7,2,3,5,2,2,1,0,0,0,1,1,0,0,0,66,"White",1,5,14,1966,1,77,1,1,2,4,2,5
1,2,0,0,1,0,1,0,0,0,0,2,2,7,7,7,6,5,1,5,1,2,4,5,4,3,1,1,1,0,1,0,0,0,0,1,"White",2,5,23,1992,7,77,4,3,2,2,2,5
1,4,0,0,0,1,0,0,0,0,0,1,3,7,7,7,7,5,3,3,1,1,1,5,5,1,1,1,1,1,1,1,1,0,0,1,"Black",2,3,8,2000,7,77,5,3,1,3,2,3
1,4,0,0,0,0,0,0,0,1,0,1,1,3,2,2,2,5,4,4,7,3,3,4,3,3,0,0,0,0,0,0,0,1,0,66,"White",1,5,24,1960,2,77,2,2,2,4,2,5
3,4,0,0,0,0,1,0,0,0,0,1,4,7,7,7,7,5,4,5,2,2,5,5,5,2,0,0,0,0,0,0,0,0,1,66,"White",1,1,3,2000,7,77,3,1,2,4,2,5
1,1,0,0,0,1,0,0,0,1,0,2,1,2,3,4,2,4,2,4,1,3,3,5,3,3,1,1,1,1,1,1,1,1,0,1,"White",1,6,21,1980,6,77,4,2,1,5,2,4
1,4,1,1,1,0,0,0,0,1,0,4,3,3,3,2,2,3,2,2,1,4,3,2,4,2,1,1,1,0,1,1,1,0,0,4,"Black",2,3,3,2001,5,77,4,3,1,2,2,3
1,3,0,0,0,0,0,0,0,0,1,0,2,3,3,3,3,5,2,4,3,1,2,4,4,3,1,0,0,0,0,0,0,0,0,66,"White",2,6,21,1952,5,77,2,1,2,3,2,4
1,1,1,1,1,1,1,1,1,1,0,8,1,1,1,1,1,1,5,5,1,5,1,5,5,5,1,1,1,1,1,1,1,0,0,1,"Hispanic",2,5,22,1985,1,77,1,1,1,5,1,5
1,2,0,0,0,0,0,0,0,1,0,1,2,7,7,7,5,5,5,5,5,3,4,3,4,4,0,0,1,0,0,0,0,0,0,66,"Asian",2,5,23,1977,7,77,1,1,2,5,2,4
1,1,0,0,0,0,0,0,0,0,1,0,1,2,3,1,3,5,5,5,4,1,3,3,3,2,1,0,0,0,1,0,0,0,0,66,"White",2,3,21,1948,2,77,4,1,1,3,2,5
1,2,0,1,0,1,1,1,0,0,0,4,2,7,7,7,7,5,5,4,1,3,4,2,4,4,1,1,1,1,1,0,1,0,0,6,"White",2,2,15,1995,7,77,5,1,1,2,2,4
3,4,0,0,0,0,0,0,0,0,1,0,2,7,4,6,7,5,5,5,1,5,1,5,3,5,1,0,1,0,0,1,1,0,0,66,"Hispanic",2,1,4,1994,6,77,1,1,1,5,2,3
1,1,0,0,0,0,0,0,0,1,0,1,4,3,2,5,1,3,1,3,7,1,3,3,3,2,0,0,0,0,0,0,0,0,1,66,"White",2,5,21,1955,5,77,4,1,1,3,2,5
